Date,Open,Close,High,Low,Volume,MA1,MA2
2007-09-14,115.0500,115.1300,116.0000,114.6500,6904373,113.1170,102.5010
2007-09-17,114.7000,114.5200,115.2500,114.3000,5022334,113.2270,102.6170
2007-09-18,115.0000,116.6300,116.7800,114.8300,7839600,113.3800,102.7420
2007-09-19,116.9000,116.6700,117.1900,115.7800,10310634,113.5410,102.8660
2007-09-20,116.2700,116.8600,117.6500,116.2000,5806663,113.6960,102.9940
2007-09-21,117.8900,116.7800,118.1000,116.3500,9097300,113.8460,103.1100
2007-09-24,116.9000,116.2500,117.4300,115.8500,5734283,113.9990,103.2190
2007-09-25,116.0200,116.5100,117.5900,115.7900,7045116,114.1360,103.3310
2007-09-26,116.9400,117.3000,118.0800,116.7500,6695800,114.2670,103.4470
2007-09-27,117.5000,117.7100,118.2100,117.0400,5836700,114.3990,103.5660
2007-09-28,117.1400,117.8000,118.5000,117.1000,7720200,114.4380,103.6870
2007-10-01,117.6100,119.0300,119.5000,117.5000,6778700,114.5220,103.8110
2007-10-02,119.3100,118.3600,119.6000,118.1400,6912187,114.5620,103.9290
2007-10-03,117.6500,116.4000,117.8400,116.2800,7916471,114.5670,104.0340
2007-10-04,116.2000,115.6900,116.7500,115.0000,6178181,114.5180,104.1360
2007-10-05,116.1700,116.3000,116.7100,115.4700,5749327,114.5140,104.2410
2007-10-08,116.1000,117.7700,118.2300,115.8800,4823300,114.5570,104.3490
2007-10-09,117.8500,118.3000,118.5000,116.4200,5670591,114.6320,104.4610
2007-10-10,118.0000,118.6200,118.8000,117.6800,5913800,114.7920,104.5750
2007-10-11,118.9900,118.0500,121.4600,117.3700,13018900,114.9120,104.6890
2007-10-12,118.5000,117.8100,118.8900,117.2800,5657396,115.0040,104.7990
2007-10-15,117.9500,118.0300,118.3700,116.7500,6271899,115.1260,104.9030
2007-10-16,118.0200,119.6000,119.9400,117.5000,11527300,115.2410,105.0170
2007-10-17,118.0100,115.7800,118.0100,114.1500,17820500,115.2860,105.1100
2007-10-18,114.8200,114.8000,116.4100,114.4400,7708110,115.3220,105.1970
2007-10-19,113.9800,112.2800,114.9300,111.8000,10300930,115.3530,105.2670
2007-10-22,110.9700,113.3700,113.8800,110.9600,7576895,115.3680,105.3470
2007-10-23,113.7800,114.6800,114.8000,113.5000,5563200,115.4070,105.4260
2007-10-24,114.2000,112.9500,114.4500,111.6800,8072700,115.4250,105.4900
2007-10-25,113.3200,112.8100,114.4000,111.6900,6519830,115.4550,105.5600
2007-10-26,113.0000,113.7300,114.0000,112.0700,5030300,115.5360,105.6350
2007-10-29,113.9000,114.8000,115.0100,113.8500,5103300,115.6140,105.7130
2007-10-30,114.5000,114.1200,114.9000,113.7500,3956900,115.7120,105.7790
2007-10-31,114.7500,116.1200,116.2500,113.2800,7217155,115.8530,105.8600
2007-11-01,115.5000,113.6500,116.0900,113.3200,7594402,115.9260,105.9310
2007-11-02,114.4200,114.5900,115.1500,113.5700,6114900,115.9890,106.0230
2007-11-04,115.1100,113.4000,115.1100,112.8300,7164563,115.9920,106.1040
2007-11-05,113.4900,113.1700,113.9500,111.6700,7302402,115.9870,106.1850
2007-11-06,113.5600,111.0800,113.6400,110.9000,7092984,115.9680,106.2530
2007-11-07,110.1000,106.1100,110.3200,103.9900,23092772,115.7990,106.2960
2007-11-08,104.9200,100.2540,104.9200,99.2700,18086744,115.4970,106.3100
2007-11-11,101.8900,101.4500,104.1900,100.7000,13559053,115.1920,106.3250
2007-11-12,102.7300,105.2700,105.7400,102.5000,10783222,114.9340,106.3540
2007-11-13,106.1200,103.4400,106.4200,102.8400,8485062,114.6450,106.3750
2007-11-14,103.2400,103.6000,105.6400,103.0500,8382182,114.3640,106.3980
2007-11-15,104.5100,104.7900,105.0000,103.2500,9296147,114.1490,106.4270
2007-11-18,104.3400,102.2200,105.3900,101.3400,9508712,113.8780,106.4360
2007-11-19,102.5900,103.4200,104.9700,101.3800,8395978,113.5990,106.4540
2007-11-20,101.4100,102.2200,104.0900,101.4100,7121312,113.3230,106.4670
2007-11-22,103.1000,104.0500,104.1400,102.3200,2830934,113.0850,106.4890
2007-11-25,104.2600,101.9700,105.1500,101.7200,7343073,112.8220,106.5060
2007-11-26,102.7000,103.8300,104.5800,101.5000,9083197,112.6080,106.5330
2007-11-27,104.8200,107.3700,108.2700,104.3600,9401082,112.4230,106.5780
2007-11-28,107.2400,107.5000,107.8700,106.2500,7792766,112.2400,106.6190
2007-11-29,108.5700,105.1800,109.1900,103.9300,12896705,112.0060,106.6510
2007-12-02,105.5500,105.8300,107.1400,104.5800,7932822,111.7870,106.6850
2007-12-03,105.4100,106.6300,107.4200,104.7200,6362437,111.5950,106.7210
2007-12-04,107.8300,108.1600,108.5200,106.9800,6092731,111.4280,106.7670
2007-12-05,108.0000,109.7000,110.0000,107.9300,5317690,111.2760,106.8230
2007-12-06,109.6800,108.8600,110.0000,107.9500,5985761,111.0990,106.8780
2007-12-09,109.3800,109.3900,110.2600,109.0000,4443220,110.9310,106.9410
2007-12-10,109.3400,106.9900,110.4000,106.4600,8441858,110.6900,107.0060
2007-12-11,109.1700,108.4700,110.2000,107.3800,7881643,110.4920,107.0840
2007-12-12,108.0000,108.1800,108.6400,106.9400,6253192,110.3280,107.1630
2007-12-13,107.3100,105.7700,107.5600,104.1000,9711390,110.1290,107.2370
2007-12-16,105.3700,104.5300,105.9900,104.0000,7131710,109.8940,107.3010
2007-12-17,105.0800,106.3100,106.9700,104.1300,8042754,109.6650,107.3640
2007-12-18,106.5400,107.1400,108.3800,105.8700,7033562,109.4410,107.4300
2007-12-19,107.7800,108.8400,109.4900,107.6100,8012818,109.2460,107.5090
2007-12-20,109.9000,111.0500,111.1600,109.1500,13266761,109.1060,107.5980
2007-12-23,111.2000,111.6500,112.0000,110.5500,2342475,108.9830,107.6850
2007-12-25,110.9000,111.5600,112.1900,110.9000,3849791,108.8530,107.7800
2007-12-26,110.5300,109.6000,111.3000,109.4900,4515036,108.6530,107.8590
2007-12-27,110.7600,110.0900,110.7600,109.1080,5834734,108.5390,107.9420
2007-12-30,109.5100,108.1000,110.0000,107.2600,5734766,108.4050,108.0160
2008-01-01,108.9900,104.6900,108.9900,104.1700,9503810,108.2540,108.0700
2008-01-02,104.8300,104.9000,105.5700,103.9800,7529406,108.0840,108.1220
2008-01-03,103.9500,101.1300,103.9500,100.4800,11036549,107.8130,108.1510
2008-01-06,100.2500,100.0500,101.0000,99.0300,12652025,107.5550,108.1750
2008-01-07,100.0500,97.5900,100.3800,97.1700,9442730,107.2510,108.1880
2008-01-08,97.7600,98.3100,99.1500,97.1600,10923394,106.9420,108.2040
2008-01-09,97.3900,99.9200,100.8600,97.1500,10635522,106.6450,108.2300
2008-01-10,99.2000,97.6700,99.4600,97.0400,8960460,106.3160,108.2470
2008-01-13,105.0100,102.9300,105.5900,101.3300,18015309,106.0520,108.2890
2008-01-14,102.0300,101.8300,104.6400,101.2300,11637736,105.8160,108.3270
